scene,comparison,iteration,stage,feature_dim,input_token_rms_drift,stage_rms_drift,stage_mean_drift,stage_median_drift,stage_p95_drift,amplification_ratio
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1,adaln_input,2048,7.866933652716884,27.25662178984239,24.901526715599484,20.709425017164136,45.89308490527928,3.464707215425566
scene0000_00,H200(Z200)_vs_H200(Z500_shared),2,adaln_input,2048,7.866933652716884,16.746640157645288,14.0770938864804,10.93939523122756,30.830270765021716,2.128737942497043
scene0000_00,H200(Z200)_vs_H200(Z500_shared),3,adaln_input,2048,7.866933652716884,16.77120338130621,14.099636885709888,10.981356632924214,31.150961104126853,2.1318602802140316
scene0000_00,H200(Z200)_vs_H200(Z500_shared),4,adaln_input,2048,7.866933652716884,16.775372774707343,14.103165190231467,10.973150878097693,31.315523723907557,2.1323902698625004
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1,block_1,2048,7.866933652716884,29.74803152560957,26.812732767566963,21.6139221065037,51.74102618127165,3.781401094610216
scene0000_00,H200(Z200)_vs_H200(Z500_shared),2,block_1,2048,7.866933652716884,16.936033322663118,14.537382362778835,11.38107102260443,30.55105118172326,2.1528125277647634
scene0000_00,H200(Z200)_vs_H200(Z500_shared),3,block_1,2048,7.866933652716884,16.935241689213075,14.502370347969386,11.414047065265482,30.54358763358957,2.152711899809198
scene0000_00,H200(Z200)_vs_H200(Z500_shared),4,block_1,2048,7.866933652716884,16.95270135104682,14.511229361400064,11.423417011547517,30.557381752966425,2.1549312730242898
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1,block_2,2048,7.866933652716884,30.360551455730924,27.198701679595633,21.603105155991916,53.779689600593045,3.859261155106572
scene0000_00,H200(Z200)_vs_H200(Z500_shared),2,block_2,2048,7.866933652716884,18.08432840431378,16.177724044947883,12.986570458634151,30.577035141085158,2.2987772876498416
scene0000_00,H200(Z200)_vs_H200(Z500_shared),3,block_2,2048,7.866933652716884,17.630258779370703,15.730697842828867,12.715899480399742,30.073251895144168,2.241058531526068
scene0000_00,H200(Z200)_vs_H200(Z500_shared),4,block_2,2048,7.866933652716884,17.553711047043898,15.647677433002649,12.571658789428042,30.127658976257635,2.231328217822409
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1,block_3,2048,7.866933652716884,30.704939159389564,27.41726649325424,21.68630445530726,56.757270589502056,3.9030377672990118
scene0000_00,H200(Z200)_vs_H200(Z500_shared),2,block_3,2048,7.866933652716884,28.264270866344294,27.126028936125618,24.884750517951122,38.26606767461991,3.5927938526064844
scene0000_00,H200(Z200)_vs_H200(Z500_shared),3,block_3,2048,7.866933652716884,33.26552909164494,32.539377511935974,33.66906459609662,42.327430332417876,4.228525440805838
scene0000_00,H200(Z200)_vs_H200(Z500_shared),4,block_3,2048,7.866933652716884,24.899815964860434,23.476185166337554,22.541857501326824,36.95674232040653,3.1651234221685804
scene0000_00,H200(Z200)_vs_H200(Z500_shared),1,block_4,2048,7.866933652716884,31.156169560991327,27.77045417334695,22.107507680259246,57.73470356197825,3.9603956174501858
scene0000_00,H200(Z200)_vs_H200(Z500_shared),2,block_4,2048,7.866933652716884,30.257926144143212,28.89128503007064,27.99475955112517,41.02246016941832,3.846216007388532
scene0000_00,H200(Z200)_vs_H200(Z500_shared),3,block_4,2048,7.866933652716884,42.06480177085019,41.3390489780584,42.12571679050228,49.60712737188649,5.347039091441035
scene0000_00,H200(Z200)_vs_H200(Z500_shared),4,block_4,2048,7.866933652716884,32.33489893421406,31.502279936236114,30.45571393597627,42.565626756032664,4.110229011915849
